Category,Country,Customer ID,Order Date,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Home,Canada,5551,9/6/23,175,No,5,Express,37.00%,$765.80 ,$284 ,5,3,$24.20 ,$2K
Clothing,Germany,8431,2/24/23,601,No,4,Next Day,24.00%,$421.40 ,$59 ,1,3,$44.90 ,$0K
Books,France,9566,5/15/23,850,Yes,1,Next Day,26.00%,$445.10 ,$240 ,3,3,$16.70 ,$1K
Clothing,France,6045,1/2/23,678,No,4,Express,19.00%,$860.10 ,$594 ,4,4,$10.10 ,$3K
Sports,Germany,4711,12/25/23,538,Yes,3,Express,39.00%,$458.70 ,$79 ,1,2,$47.80 ,$0K
Home,UK,5970,6/18/23,846,No,1,Next Day,24.00%,$802.40 ,"$1,085 ",7,3,$34.10 ,$4K
Home,Canada,1502,7/17/23,73,No,4,Next Day,30.00%,$407.50 ,$719 ,9,5,$11.10 ,$3K
Clothing,UK,1409,7/16/23,778,No,5,Express,28.00%,$88.50 ,$155 ,10,2,$3.00 ,$1K
Home,France,2737,4/1/23,917,No,3,Express,24.00%,$355.40 ,$440 ,7,2,$4.90 ,$2K
Clothing,UK,4026,3/5/23,116,Yes,5,Next Day,14.00%,$74.70 ,$112 ,6,3,$34.40 ,$0K
Electronics,Canada,4732,2/17/23,977,No,5,Next Day,17.00%,$215.50 ,$252 ,10,2,$10.50 ,$2K
Clothing,France,1783,10/23/23,756,No,2,Express,23.00%,$762.60 ,"$1,109 ",8,4,$9.80 ,$5K
Books,Canada,9874,6/4/23,710,No,4,Express,29.00%,$248.10 ,$57 ,3,4,$35.60 ,$1K
Home,Canada,9870,12/12/23,848,No,3,Standard,22.00%,$109.10 ,$70 ,5,4,$8.00 ,$0K
Home,Canada,6525,11/2/23,432,No,3,Next Day,33.00%,$345.70 ,$68 ,1,5,$4.80 ,$0K
Electronics,USA,8410,7/18/23,449,No,4,Next Day,38.00%,$577.60 ,$345 ,4,5,$6.60 ,$1K
Electronics,USA,4397,2/9/23,851,Yes,2,Standard,12.00%,$262.60 ,$197 ,6,2,$30.90 ,$1K
Books,UK,8253,10/3/23,100,No,5,Next Day,25.00%,$773.50 ,$709 ,7,0,$7.90 ,$4K
Electronics,Germany,6238,5/18/23,985,No,1,Standard,21.00%,$992.30 ,"$1,877 ",10,5,$31.40 ,$8K
Electronics,Germany,9299,2/19/23,178,Yes,5,Next Day,27.00%,$652.10 ,$892 ,7,3,$13.60 ,$3K
Sports,Germany,7618,2/14/23,756,No,3,Express,23.00%,$686.30 ,$543 ,8,0,$37.50 ,$4K
Home,France,4985,9/14/23,798,No,2,Standard,31.00%,$168.90 ,$211 ,9,4,$28.90 ,$1K
Home,UK,1968,6/27/23,660,No,2,Express,33.00%,$830.70 ,$831 ,5,5,$29.80 ,$3K
Clothing,France,5881,5/4/23,148,Yes,1,Express,19.00%,$64.80 ,$5 ,1,1,$41.60 ,$0K
Sports,Germany,1661,5/26/23,911,Yes,3,Express,11.00%,$915.00 ,$775 ,8,1,$41.90 ,$7K
Home,UK,8987,1/3/23,424,Yes,4,Express,33.00%,$333.60 ,$216 ,5,1,$9.80 ,$1K
Clothing,France,8738,7/18/23,289,Yes,1,Standard,18.00%,$264.60 ,$606 ,10,2,$24.70 ,$2K
Books,Germany,8098,7/18/23,962,Yes,4,Standard,29.00%,$114.40 ,$71 ,7,2,$34.70 ,$1K
Electronics,USA,6680,12/14/23,266,Yes,1,Standard,7.00%,$548.10 ,"$1,456 ",10,5,$21.40 ,$5K
Home,Germany,8897,1/5/23,698,No,5,Standard,39.00%,$63.20 ,$8 ,1,5,$43.20 ,$0K
Books,UK,6196,6/19/23,640,Yes,4,Express,15.00%,$494.60 ,$64 ,1,2,$4.80 ,$0K
Home,Germany,4633,4/15/23,545,No,4,Standard,28.00%,$815.80 ,$313 ,2,0,$26.10 ,$1K
Sports,USA,1687,12/8/23,544,No,1,Express,24.00%,$760.50 ,$686 ,7,0,$39.80 ,$4K
Clothing,Canada,3165,6/20/23,715,No,4,Next Day,13.00%,$108.30 ,$150 ,7,0,$47.80 ,$1K
Electronics,France,7694,9/11/23,245,No,1,Next Day,35.00%,$488.40 ,$177 ,3,5,$16.30 ,$1K
Books,Canada,5479,3/18/23,152,Yes,3,Express,20.00%,$875.80 ,$372 ,2,4,$45.80 ,$1K
Electronics,France,6326,11/1/23,676,Yes,3,Standard,14.00%,$701.10 ,$398 ,5,4,$12.50 ,$3K
Clothing,Germany,3225,9/13/23,511,No,1,Standard,9.00%,$68.50 ,$90 ,5,2,$6.20 ,$0K
Electronics,UK,9271,8/26/23,460,Yes,1,Standard,36.00%,$201.00 ,$39 ,2,4,$44.40 ,$0K
Electronics,Canada,2439,9/28/23,883,Yes,1,Standard,34.00%,$925.30 ,$287 ,4,1,$4.70 ,$2K
Electronics,USA,3961,2/22/23,184,Yes,5,Express,39.00%,$667.60 ,$515 ,6,5,$49.60 ,$2K
Home,Germany,7671,9/21/23,29,No,5,Next Day,14.00%,$782.50 ,$522 ,3,2,$27.00 ,$2K
Clothing,USA,8015,10/15/23,803,No,2,Express,40.00%,$554.10 ,$234 ,4,4,$37.90 ,$1K
Home,Canada,9109,6/4/23,129,Yes,2,Standard,27.00%,$117.70 ,$146 ,8,3,$10.50 ,$1K
Clothing,UK,5530,12/19/23,129,No,3,Next Day,35.00%,$490.80 ,$218 ,3,4,$29.20 ,$1K
Home,France,3401,3/13/23,933,Yes,3,Express,34.00%,$533.90 ,$206 ,5,5,$39.90 ,$2K
Electronics,UK,2140,5/12/23,54,No,2,Express,34.00%,$451.00 ,$223 ,3,1,$41.50 ,$1K
Electronics,France,4708,10/22/23,902,Yes,2,Standard,12.00%,$979.20 ,$221 ,1,4,$15.70 ,$1K
Electronics,France,2028,4/14/23,551,No,1,Express,27.00%,$295.10 ,$398 ,8,1,$43.10 ,$2K
Clothing,UK,4275,8/21/23,489,Yes,2,Next Day,14.00%,$261.60 ,$160 ,3,3,$46.30 ,$1K
Home,Germany,3981,3/5/23,757,Yes,3,Next Day,8.00%,$452.90 ,$485 ,6,1,$22.20 ,$2K
Books,Germany,5686,6/3/23,274,No,4,Next Day,38.00%,$524.60 ,$444 ,9,5,$24.80 ,$3K
Electronics,USA,4942,9/5/23,336,Yes,1,Express,16.00%,$326.90 ,$301 ,4,2,$45.20 ,$1K
Home,Canada,5778,10/4/23,389,Yes,1,Express,39.00%,$989.60 ,$439 ,5,3,$43.90 ,$3K
Sports,USA,7961,12/24/23,618,No,4,Next Day,14.00%,$124.40 ,$99 ,8,0,$18.70 ,$1K
Clothing,France,6660,7/23/23,43,Yes,4,Standard,32.00%,$981.60 ,$717 ,9,4,$31.30 ,$6K
Sports,USA,5971,3/14/23,443,Yes,4,Express,33.00%,$917.50 ,"$1,339 ",10,2,$47.20 ,$6K
Sports,Canada,2926,12/9/23,544,Yes,2,Express,25.00%,$933.70 ,$371 ,5,5,$43.50 ,$4K
Home,Germany,6756,5/12/23,889,Yes,3,Standard,38.00%,$389.40 ,$61 ,2,0,$48.70 ,$0K
Home,Canada,2486,8/6/23,258,Yes,1,Standard,29.00%,$610.70 ,$210 ,4,0,$41.50 ,$2K
Home,Canada,2776,4/18/23,322,No,1,Next Day,17.00%,$585.80 ,$91 ,1,5,$15.80 ,$0K
Electronics,UK,8397,8/14/23,1000,No,3,Next Day,10.00%,$607.30 ,$438 ,6,0,$6.70 ,$3K
Books,Germany,3488,11/12/23,938,No,5,Standard,25.00%,$69.20 ,$87 ,6,3,$22.30 ,$0K
Books,USA,3733,3/4/23,58,Yes,3,Next Day,23.00%,$815.40 ,$691 ,9,2,$40.70 ,$6K
Electronics,USA,9962,11/18/23,292,Yes,3,Standard,24.00%,$373.50 ,$146 ,5,0,$3.30 ,$1K
Electronics,France,7136,12/15/23,871,Yes,3,Express,18.00%,$916.90 ,"$1,507 ",8,3,$42.40 ,$6K
Books,Germany,1539,9/2/23,120,Yes,3,Express,31.00%,$193.30 ,$58 ,2,4,$47.30 ,$0K
Home,USA,5975,12/2/23,780,Yes,4,Express,21.00%,$582.30 ,$241 ,2,5,$20.40 ,$1K
Home,Canada,7021,9/21/23,431,Yes,1,Express,36.00%,$602.60 ,$267 ,3,2,$35.10 ,$1K
Books,USA,3328,11/17/23,83,Yes,3,Next Day,15.00%,$37.20 ,$26 ,4,4,$38.70 ,$0K
Sports,Germany,3605,2/14/23,92,No,4,Standard,20.00%,$198.90 ,$201 ,6,3,$45.00 ,$1K
Electronics,Canada,8370,11/9/23,897,Yes,5,Express,21.00%,$487.10 ,$695 ,8,3,$33.00 ,$3K
Sports,France,1493,7/7/23,399,No,4,Next Day,12.00%,$600.70 ,$392 ,7,5,$46.70 ,$4K
Books,Canada,2028,9/7/23,612,No,2,Standard,35.00%,$96.90 ,$36 ,5,5,$24.50 ,$0K
Books,UK,4830,8/4/23,566,Yes,5,Next Day,9.00%,$316.30 ,$275 ,6,1,$36.90 ,$2K
Sports,France,5196,12/13/23,909,Yes,2,Standard,38.00%,$546.10 ,$461 ,8,5,$2.60 ,$3K
Electronics,Germany,9285,3/19/23,634,No,5,Standard,9.00%,$682.00 ,$811 ,5,5,$5.30 ,$3K
Sports,USA,2702,8/24/23,939,No,5,Express,13.00%,$837.80 ,"$1,476 ",7,1,$3.10 ,$5K
Home,Canada,4626,5/5/23,85,Yes,5,Standard,22.00%,$762.70 ,$323 ,5,4,$29.40 ,$3K
Sports,USA,9995,9/11/23,204,Yes,4,Express,13.00%,$784.30 ,$867 ,5,0,$32.20 ,$3K
Clothing,UK,9725,4/28/23,325,Yes,5,Standard,25.00%,$287.70 ,$505 ,9,3,$17.50 ,$2K
Sports,USA,4654,1/5/23,775,No,5,Express,13.00%,$329.50 ,$327 ,8,2,$11.20 ,$2K
Sports,Germany,9671,1/20/23,965,No,1,Standard,36.00%,$632.40 ,$482 ,4,4,$15.90 ,$2K
Home,UK,4455,6/1/23,48,No,2,Next Day,12.00%,$181.80 ,$143 ,7,2,$46.00 ,$1K
Home,UK,9010,5/1/23,640,No,1,Standard,21.00%,$909.80 ,"$1,729 ",9,0,$17.00 ,$6K
Home,France,8883,3/25/23,132,No,1,Standard,37.00%,$727.50 ,$618 ,9,4,$8.30 ,$4K
Electronics,UK,1054,8/21/23,973,Yes,5,Standard,36.00%,$67.30 ,$72 ,8,0,$28.10 ,$0K
Books,France,4509,8/8/23,869,Yes,2,Standard,26.00%,$753.40 ,$696 ,7,1,$11.90 ,$4K
Electronics,UK,3274,11/10/23,181,No,2,Standard,10.00%,$527.60 ,$193 ,2,5,$10.20 ,$1K
Electronics,USA,5689,6/6/23,847,Yes,5,Express,20.00%,$939.70 ,"$1,110 ",5,2,$6.80 ,$4K
Books,USA,6700,12/27/23,144,Yes,2,Express,19.00%,$509.40 ,$417 ,5,0,$26.00 ,$2K
Books,UK,5871,6/2/23,661,No,2,Standard,19.00%,$580.30 ,$291 ,3,2,$28.90 ,$1K
Clothing,UK,3037,7/5/23,228,Yes,1,Next Day,21.00%,$840.90 ,$728 ,5,0,$49.20 ,$3K
Home,Germany,9363,4/6/23,955,Yes,5,Standard,5.00%,$920.40 ,$458 ,2,4,$49.00 ,$2K
Sports,France,5381,12/10/23,792,Yes,1,Standard,30.00%,$892.50 ,"$1,631 ",9,2,$48.50 ,$6K
Sports,UK,4534,7/1/23,720,No,5,Express,15.00%,$568.80 ,$116 ,1,0,$43.30 ,$0K
Clothing,UK,5849,5/4/23,910,Yes,4,Express,24.00%,$630.40 ,$280 ,2,1,$6.00 ,$1K
Books,Canada,3931,6/11/23,374,Yes,2,Next Day,11.00%,$11.30 ,$5 ,3,4,$39.20 ,$0K
Clothing,Germany,6324,11/17/23,854,No,1,Express,32.00%,$576.20 ,$391 ,7,0,$39.60 ,$3K
Home,Germany,7618,6/20/23,561,Yes,5,Express,29.00%,$193.50 ,$231 ,6,0,$10.40 ,$1K
Electronics,France,1880,9/12/23,306,Yes,4,Standard,7.00%,$585.60 ,$669 ,5,4,$4.60 ,$3K
Sports,USA,2742,3/24/23,582,Yes,5,Next Day,15.00%,$989.10 ,"$1,619 ",8,0,$14.90 ,$7K
Sports,UK,3026,12/27/23,170,No,4,Express,34.00%,$352.40 ,$393 ,7,4,$11.60 ,$2K
Sports,Germany,8788,7/24/23,676,No,2,Express,23.00%,$730.40 ,"$1,114 ",10,5,$6.90 ,$6K
Clothing,Germany,2790,7/11/23,449,No,4,Next Day,11.00%,$486.50 ,$348 ,6,3,$5.30 ,$3K
Sports,France,4847,8/23/23,96,Yes,5,Next Day,32.00%,$688.70 ,"$1,038 ",8,1,$47.70 ,$4K
Electronics,USA,6779,10/24/23,198,No,2,Standard,24.00%,$839.90 ,$338 ,2,5,$4.60 ,$1K
Clothing,UK,4330,6/26/23,607,No,2,Standard,18.00%,$718.50 ,$224 ,2,0,$10.10 ,$1K
Home,Canada,2696,10/12/23,257,No,4,Next Day,26.00%,$289.20 ,$341 ,6,1,$12.00 ,$1K
Books,Canada,8779,7/4/23,882,Yes,3,Next Day,20.00%,$855.30 ,$202 ,1,4,$46.90 ,$1K
Sports,Canada,9243,7/9/23,691,Yes,2,Express,9.00%,$978.90 ,$675 ,6,1,$32.70 ,$5K
Sports,Canada,3621,12/28/23,293,No,5,Express,10.00%,$912.00 ,$400 ,2,4,$32.50 ,$2K
Clothing,France,1694,12/7/23,931,Yes,1,Express,27.00%,$600.80 ,$732 ,6,0,$29.60 ,$3K
Electronics,UK,5873,8/24/23,817,Yes,5,Express,10.00%,$884.60 ,"$1,908 ",9,1,$19.40 ,$7K
Books,France,7470,3/28/23,862,No,3,Express,32.00%,$166.20 ,$142 ,5,0,$35.50 ,$1K
Books,France,2045,3/7/23,388,No,1,Express,5.00%,$204.50 ,$113 ,5,0,$17.30 ,$1K
Sports,Canada,3481,11/4/23,611,No,3,Express,10.00%,$264.70 ,$271 ,6,5,$14.50 ,$1K
Home,France,2325,3/10/23,555,No,3,Standard,22.00%,$774.00 ,$425 ,6,0,$18.40 ,$4K
Electronics,UK,4541,7/2/23,974,Yes,4,Express,20.00%,$248.60 ,$326 ,8,5,$9.60 ,$2K
Electronics,Canada,3159,2/4/23,369,Yes,5,Next Day,27.00%,$723.10 ,$54 ,1,1,$32.30 ,$1K
Home,UK,7034,8/9/23,1000,No,1,Next Day,14.00%,$838.50 ,$642 ,4,0,$3.70 ,$3K
Electronics,UK,5540,1/10/23,918,No,5,Standard,10.00%,$209.80 ,$21 ,1,0,$19.40 ,$0K
Sports,Canada,5356,10/28/23,202,Yes,3,Express,18.00%,$553.80 ,$253 ,4,5,$29.20 ,$2K
Clothing,Canada,7108,10/9/23,384,No,3,Next Day,5.00%,$839.60 ,$849 ,10,5,$26.40 ,$8K
Clothing,France,8379,3/21/23,513,No,1,Standard,23.00%,$84.70 ,$133 ,10,4,$49.50 ,$1K
Electronics,France,1731,11/27/23,907,Yes,1,Express,28.00%,$597.70 ,$296 ,6,5,$27.20 ,$3K
Electronics,Canada,9973,12/25/23,371,Yes,4,Express,35.00%,$202.30 ,$166 ,5,4,$35.50 ,$1K
Home,France,5541,4/8/23,556,No,2,Standard,27.00%,$889.20 ,$587 ,7,5,$14.60 ,$5K
Home,Germany,7006,3/16/23,955,No,4,Standard,22.00%,$879.60 ,$158 ,1,1,$26.30 ,$1K
Books,Canada,3738,7/27/23,384,Yes,4,Next Day,23.00%,$609.70 ,$943 ,10,0,$19.20 ,$5K
Books,Germany,4788,7/18/23,24,No,1,Express,36.00%,$368.80 ,$58 ,1,5,$21.20 ,$0K
Sports,Canada,1933,12/23/23,700,Yes,5,Express,32.00%,$780.90 ,$117 ,1,3,$48.40 ,$1K
Electronics,France,8813,10/8/23,131,Yes,3,Standard,35.00%,$287.20 ,$43 ,1,1,$8.40 ,$0K
Books,UK,5916,2/28/23,378,Yes,1,Next Day,17.00%,$819.10 ,$750 ,10,2,$7.10 ,$7K
Electronics,Canada,6692,9/23/23,99,No,2,Standard,21.00%,$208.40 ,$113 ,4,5,$13.90 ,$1K
Sports,USA,8966,12/8/23,575,No,2,Standard,33.00%,$136.60 ,$167 ,7,5,$12.30 ,$1K
Books,Germany,6255,1/15/23,932,Yes,3,Next Day,40.00%,$691.20 ,"$1,090 ",9,5,$49.40 ,$4K
Home,UK,8380,9/15/23,735,No,3,Next Day,16.00%,$719.40 ,$696 ,8,4,$23.50 ,$5K
Home,USA,5947,3/7/23,124,Yes,5,Standard,6.00%,$304.00 ,$644 ,9,2,$11.10 ,$3K
Sports,USA,3586,10/19/23,964,Yes,3,Standard,19.00%,$244.70 ,$34 ,1,0,$38.70 ,$0K
Books,France,4729,2/20/23,595,No,5,Express,15.00%,$928.10 ,$170 ,2,0,$44.70 ,$2K
Home,Germany,8551,9/26/23,943,Yes,3,Standard,26.00%,$63.90 ,$10 ,1,3,$23.80 ,$0K
Home,France,4776,7/22/23,740,Yes,2,Standard,35.00%,$595.70 ,$925 ,9,5,$49.40 ,$3K
Sports,UK,6686,12/17/23,149,Yes,2,Standard,34.00%,$805.00 ,"$1,074 ",9,2,$21.50 ,$5K
Books,Germany,5074,8/16/23,210,No,1,Next Day,10.00%,$957.70 ,"$1,328 ",7,5,$17.40 ,$6K
Books,France,6176,12/6/23,563,Yes,1,Standard,35.00%,$744.90 ,$432 ,5,0,$9.20 ,$2K
Clothing,Canada,9921,5/13/23,412,No,1,Standard,21.00%,$811.50 ,$876 ,7,0,$22.30 ,$4K
Home,Germany,5833,5/10/23,783,No,1,Next Day,15.00%,$927.60 ,$820 ,10,4,$17.20 ,$8K
Books,USA,9604,4/20/23,42,Yes,3,Next Day,38.00%,$449.70 ,$185 ,4,5,$3.10 ,$1K
Home,UK,5474,7/17/23,59,Yes,5,Standard,20.00%,$76.00 ,$103 ,7,5,$16.60 ,$0K
Electronics,USA,3961,4/15/23,706,No,2,Standard,33.00%,$254.00 ,$482 ,10,4,$41.10 ,$2K
Sports,Germany,6255,9/5/23,37,Yes,1,Express,11.00%,$995.50 ,"$1,552 ",7,1,$37.60 ,$6K
Sports,UK,8339,3/27/23,779,No,2,Next Day,26.00%,$195.90 ,$82 ,3,5,$5.20 ,$0K
Sports,Canada,8360,4/5/23,87,Yes,3,Express,29.00%,$251.10 ,$299 ,8,4,$30.80 ,$1K
Books,USA,2329,7/17/23,44,Yes,2,Standard,19.00%,$409.60 ,$270 ,5,4,$23.70 ,$2K
Books,Germany,3504,10/22/23,873,Yes,4,Next Day,32.00%,$874.90 ,$845 ,6,4,$29.60 ,$4K
Sports,UK,4540,9/27/23,12,Yes,2,Express,31.00%,$796.30 ,$79 ,1,5,$10.00 ,$1K
Sports,Canada,5609,2/4/23,771,Yes,4,Next Day,24.00%,$595.60 ,"$1,093 ",10,5,$45.50 ,$5K
Home,UK,7652,3/12/23,308,No,4,Next Day,7.00%,$505.90 ,$351 ,4,5,$44.70 ,$2K
Clothing,USA,5267,4/23/23,81,No,1,Standard,27.00%,$691.10 ,$576 ,7,2,$37.90 ,$4K
Books,Canada,2807,7/2/23,33,No,1,Next Day,14.00%,$179.10 ,$222 ,10,2,$50.00 ,$2K
Books,Germany,5888,12/18/23,183,Yes,2,Express,12.00%,$591.20 ,$776 ,7,4,$7.20 ,$4K
Books,UK,6064,2/9/23,129,No,4,Next Day,32.00%,$505.50 ,$220 ,4,2,$20.70 ,$1K
Sports,Canada,9281,9/23/23,807,Yes,2,Next Day,24.00%,$581.50 ,$70 ,1,3,$21.10 ,$0K
Electronics,USA,7898,8/10/23,276,Yes,5,Next Day,39.00%,$807.60 ,$236 ,2,5,$33.80 ,$1K
Books,Germany,8139,10/12/23,175,Yes,3,Standard,12.00%,$654.20 ,$265 ,2,5,$22.70 ,$1K
Books,UK,7830,10/1/23,555,Yes,2,Next Day,20.00%,$916.50 ,"$1,032 ",5,0,$45.50 ,$4K
Books,Germany,5673,5/7/23,372,No,4,Express,38.00%,$605.70 ,$529 ,5,5,$32.40 ,$2K
Sports,USA,2224,3/1/23,185,Yes,1,Standard,11.00%,$268.50 ,$60 ,1,5,$12.20 ,$0K
Sports,Canada,4736,4/19/23,445,No,4,Next Day,11.00%,$401.50 ,$113 ,3,0,$31.20 ,$1K
Home,USA,3173,4/27/23,489,No,1,Next Day,11.00%,$371.10 ,$185 ,3,5,$49.10 ,$1K
Books,UK,3961,5/23/23,590,Yes,3,Standard,35.00%,$700.80 ,$537 ,4,3,$16.00 ,$2K
Electronics,Germany,9487,12/17/23,287,No,1,Express,14.00%,$668.10 ,"$1,326 ",9,4,$14.30 ,$5K
Sports,UK,8174,12/22/23,281,Yes,1,Express,15.00%,$281.30 ,$111 ,4,0,$46.00 ,$1K
Electronics,France,4026,8/4/23,638,No,5,Next Day,35.00%,$927.90 ,$69 ,1,0,$37.60 ,$1K
Home,Canada,2264,6/13/23,771,Yes,5,Next Day,14.00%,$56.00 ,$134 ,10,1,$3.30 ,$0K
Clothing,UK,6711,6/9/23,516,Yes,1,Standard,24.00%,$874.70 ,$343 ,2,5,$34.30 ,$1K
Electronics,France,9199,4/26/23,95,Yes,5,Next Day,24.00%,$412.30 ,$681 ,8,3,$39.20 ,$3K
Clothing,UK,2409,5/12/23,227,Yes,1,Next Day,20.00%,$952.70 ,$416 ,4,4,$5.10 ,$3K
Sports,Canada,3205,4/7/23,876,No,3,Next Day,14.00%,$888.20 ,$314 ,4,3,$44.20 ,$3K
Sports,UK,9012,8/20/23,270,No,2,Express,18.00%,$593.70 ,$382 ,6,4,$10.20 ,$3K
Sports,UK,5449,7/26/23,881,No,5,Standard,29.00%,$112.50 ,$73 ,4,1,$25.40 ,$0K
Electronics,France,4570,8/2/23,297,No,3,Next Day,11.00%,$722.90 ,$589 ,9,0,$49.00 ,$6K
Electronics,Canada,2198,8/2/23,329,Yes,3,Next Day,15.00%,$719.00 ,$791 ,7,1,$16.70 ,$4K
Books,USA,7513,5/27/23,20,Yes,2,Standard,36.00%,$640.40 ,$252 ,6,1,$26.60 ,$2K
Clothing,USA,4461,11/4/23,608,No,4,Next Day,20.00%,$267.50 ,$304 ,10,0,$40.40 ,$2K
Sports,UK,6525,10/1/23,841,Yes,4,Next Day,34.00%,$666.20 ,$326 ,5,0,$2.10 ,$2K
Clothing,France,3025,5/27/23,411,Yes,2,Standard,35.00%,$194.20 ,$107 ,7,0,$38.50 ,$1K
Electronics,USA,7543,12/15/23,451,Yes,2,Express,37.00%,$737.30 ,$783 ,7,2,$23.20 ,$3K
Electronics,Germany,5071,3/24/23,249,Yes,4,Express,8.00%,$590.10 ,"$1,277 ",9,3,$21.40 ,$5K
Books,USA,7123,1/13/23,181,No,3,Express,20.00%,$14.20 ,$21 ,8,1,$6.70 ,$0K
Books,Germany,5397,8/26/23,324,No,1,Next Day,35.00%,$550.50 ,$383 ,4,5,$38.70 ,$1K
Sports,Canada,7613,9/27/23,830,Yes,2,Next Day,27.00%,$287.60 ,$37 ,1,5,$5.10 ,$0K
Sports,Germany,6162,11/9/23,783,No,3,Next Day,36.00%,$552.50 ,$677 ,8,1,$13.70 ,$3K
Home,USA,2174,9/7/23,865,No,5,Next Day,31.00%,$623.50 ,$375 ,4,1,$5.20 ,$2K
Sports,Canada,3792,6/19/23,261,Yes,4,Next Day,14.00%,$638.40 ,"$1,073 ",8,0,$14.40 ,$4K
Home,UK,2056,5/25/23,964,No,4,Express,21.00%,$74.20 ,$29 ,2,4,$44.10 ,$0K
Clothing,UK,7794,4/10/23,750,Yes,3,Standard,37.00%,$237.60 ,$322 ,8,3,$35.10 ,$1K
Books,France,5811,6/13/23,140,Yes,3,Express,31.00%,$798.80 ,$701 ,8,0,$41.00 ,$4K
Electronics,Germany,4449,3/21/23,599,Yes,1,Express,34.00%,$93.10 ,$99 ,8,1,$28.80 ,$0K
Sports,Germany,7547,7/2/23,462,Yes,5,Standard,11.00%,$847.50 ,$442 ,5,2,$7.20 ,$4K
Books,UK,9015,7/10/23,890,No,5,Next Day,11.00%,$735.30 ,"$1,050 ",10,1,$47.80 ,$7K
Home,France,3072,11/18/23,622,Yes,4,Standard,31.00%,$78.50 ,$66 ,6,1,$2.80 ,$0K
Clothing,France,3353,11/18/23,844,No,5,Next Day,40.00%,$487.20 ,$138 ,3,3,$10.20 ,$1K
Books,Germany,3866,7/3/23,697,No,3,Express,22.00%,$213.30 ,$69 ,4,4,$7.30 ,$1K
Books,Canada,4027,12/10/23,529,No,1,Next Day,19.00%,$166.30 ,$316 ,8,5,$20.90 ,$1K
Sports,UK,8438,6/10/23,153,No,2,Standard,29.00%,$502.10 ,$99 ,1,5,$45.60 ,$0K
Electronics,UK,2990,4/15/23,926,Yes,3,Standard,34.00%,$256.20 ,$113 ,4,3,$12.70 ,$1K
Home,Canada,2381,3/6/23,150,Yes,3,Express,28.00%,$940.00 ,$80 ,1,2,$32.00 ,$1K
